Y,M,W,D
0.32260192994753356,0.32018408032782264,0.32947409642717285,0.3236138305959319
0.3206263937931027,0.31810370643385316,0.3284881712008477,0.3261661790790352
0.31728890307591556,0.3155687626536029,0.32530003916058137,0.3188039897721775
0.3167492987842669,0.31401462506942684,0.320084771140955,0.3178364930547557
0.3242633039025658,0.32156417088346784,0.3327866209025362,0.3382460666651309
0.3194737344386051,0.31686694872523347,0.3285526709820092,0.3318513740756951
0.31853651312866715,0.3127993672878609,0.325714680610905,0.3233374029623828
0.32397546814445755,0.3101794476054456,0.3188085968994034,0.302282831540393
0.35513421548850355,0.3219644790490889,0.3367072861717076,0.336265001958029
0.3840044052911759,0.3282885290210622,0.3487549238672226,0.3428531938909493
0.4006777303536189,0.34901138728279313,0.36503651148326455,0.3723756651539932
0.4142415516804497,0.36205365255605976,0.3767985072907788,0.3904540323881044
0.4248515462944985,0.37091162250223314,0.3939185920619198,0.4084218285687959
0.4369276604240092,0.39272278659530735,0.40402662919536514,0.4228052797678007
0.43948422113771907,0.4046204367044707,0.41366473935177717,0.4209255718596669
0.4341119597731977,0.409317658862705,0.42120660662044174,0.4212480707654741
0.41992955483084704,0.3993877639819912,0.4225058164981226,0.4450853470318583
0.39587455889499146,0.384788289706398,0.4024970629563934,0.4404413627882333
0.38107023565455755,0.3764719131607708,0.40785054479279437,0.4606574370551242
0.3659477134937272,0.36160829692423063,0.3926608463292713,0.4306558245605951
0.3496223362303388,0.34172905484784954,0.3605537766925433,0.3968671534864434
0.33552917792396264,0.32103486315552376,0.33544493331183334,0.3703946004468912
0.3371720356152873,0.3363960491324523,0.3457188270254083,0.3521688051415539
0.32914150571887085,0.32737222260614945,0.3430973716339176,0.3390477068024234
0.32260192994753356,0.32018408032782264,0.32947409642717285,0.3353343622584138
0.3206263937931027,0.31810370643385316,0.3284881712008477,0.3308101633226602
0.31728890307591556,0.3155687626536029,0.32530003916058137,0.3317960885489853
0.3167492987842669,0.31401462506942684,0.320084771140955,0.3223330492271544
0.3242633039025658,0.32156417088346784,0.3327866209025362,0.3273271751399415
0.3194737344386051,0.31686694872523347,0.3285526709820092,0.3252539678883233
0.31853651312866715,0.3127993672878609,0.325714680610905,0.3280919582594273
0.32397546814445755,0.3101794476054456,0.3188085968994034,0.3353343622584138
0.35513421548850355,0.3219644790490889,0.3367072861717076,0.3371495703853862
0.3840044052911759,0.3282885290210622,0.3487549238672226,0.354656653843496
0.4006777303536189,0.34901138728279313,0.36503651148326455,0.357697357812536
0.4142415516804497,0.36205365255605976,0.3767985072907788,0.3631429821934532
0.4248515462944985,0.37091162250223314,0.3939185920619198,0.3794153555550437
0.4369276604240092,0.39272278659530735,0.40402662919536514,0.3852479786229296
0.43948422113771907,0.4046204367044707,0.41366473935177717,0.4064039068438875
0.4341119597731977,0.409317658862705,0.42120660662044174,0.4211651424754094
0.41992955483084704,0.3993877639819912,0.4225058164981226,0.3999262859643869
0.39587455889499146,0.384788289706398,0.4024970629563934,0.3645527631245536
0.38107023565455755,0.3764719131607708,0.40785054479279437,0.3550436525304646
0.3659477134937272,0.36160829692423063,0.3926608463292713,0.3546658680979475
0.3496223362303388,0.34172905484784954,0.3605537766925433,0.3242403998986432
0.33552917792396264,0.32103486315552376,0.33544493331183334,0.3004952661767754
0.34735740498243084,0.3345699979686757,0.3522867475985349,0.2968464214139273
0.3350616557660855,0.3245989181627614,0.33728225564948977,0.3104927322568013
0.32862982264332147,0.31633833904686914,0.3295183248485406,0.292847434981917
0.3246305881352298,0.3120361198774504,0.3189938034138812,0.2875676671811292
0.33446241027176726,0.32591697537909325,0.3410361429130865,0.3076547418856971
0.33843272619665693,0.33719522282789655,0.3601796779618069,0.3262859643869065
0.3896944943057679,0.38543352020120575,0.3976006081407938,0.3594296376494437
0.4216536042796668,0.4162145748563937,0.45594158162677656,0.4348851673538964
0.4606083534304492,0.44360143323539697,0.4848946119647094,0.4634769989173251
0.5591012203571233,0.5070415751349155,0.5568247679159659,0.5344820437216373
0.6502511415929674,0.6000268051038593,0.657182741701412,0.6386215475340352
0.6922826543431919,0.6345011004751623,0.6995996406440763,0.6909124415470732
0.7033335400634011,0.6431210355146685,0.7127833959134782,0.6985694869963833
0.7027948251329422,0.6450836717128671,0.710079933657368,0.6818640436755661
0.7125218174053722,0.654945436954605,0.7282854576029116,0.7186842044643063
0.7202114671396651,0.6711570800027643,0.7327838566262008,0.7203704130289559
0.7148841750495709,0.6753935429017781,0.7298905807283868,0.7188316325355324
0.6681818681192111,0.638573382113038,0.6958494390822603,0.671848149086637
0.60499465750439,0.5771218438560818,0.6203294095966461,0.6182949022137246
0.550716638639976,0.523702203672718,0.565320310520375,0.5739190527746424
0.4925053735051201,0.46775115649364113,0.48336504572573774,0.4956808182257952
0.4370859920296699,0.4117975963360773,0.43699707447421154,0.4314851074612426
0.39646541199235213,0.37317898061027677,0.3939351777199327,0.3867314735896431
0.36640341069172466,0.3436552528579894,0.3661155006795512,0.3595770657206698
0.34735740498243084,0.3345699979686757,0.3522867475985349,0.3490359586279975
0.3350616557660855,0.3245989181627614,0.33728225564948977,0.3234019027435442
0.32862982264332147,0.31633833904686914,0.3295183248485406,0.3143258621086821
0.3246305881352298,0.3120361198774504,0.3189938034138812,0.2986524152864482
0.33446241027176726,0.32591697537909325,0.3410361429130865,0.3465388956716039
